true_states_1,true_states_2,true_states_3,true_states_4,true_states_5,true_states_6,true_states_7,true_states_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0
0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0
0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0
0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0
1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0
1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0
1.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0
1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0
1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
